ICODE,INAME,INAME1,OICODE,FICODE,QTY,RATE,SRATE,IVAL,IAMT,INVNO,PCODE,ODATE,DBC
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.22,,199.22,199.22,TIC/0849,N0007,21-07-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.22,,199.22,199.22,TIC/0856,R0019,23-07-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.22,,199.22,199.22,TIC/0859,K0012,23-07-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.22,,199.22,199.22,TIC/0860,M0031,23-07-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.22,,597.66,597.66,TIC/0865,N0007,24-07-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.22,,398.44,398.44,TIC/0867,M0020,25-07-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,5,199.22,,996.1,996.1,TIC/0869,H0036,25-07-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.22,,199.22,199.22,TIC/0872,A0016,25-07-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.22,,199.22,199.22,TIC/0873,K0012,25-07-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.22,,398.44,398.44,TIC/0877,N0007,26-07-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/0894,D0017,30-07-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/0895,S0048,30-07-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,20,113.8,,2276,2276,TIC/0004,D0017,02-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/0923,D0017,04-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/0934,J0009,06-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/0939,R0019,08-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/0940,H0035,08-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.1,,597.3,597.3,TIC/0958,N0007,09-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.1,,597.3,597.3,TIC/0948,H0035,10-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/0952,J0014,10-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/0954,K0012,10-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,4,199.1,,796.4,796.4,TIC/0949,D0017,11-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/0963,H0041,11-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/0968,H0036,11-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.1,,597.3,597.3,TIC/0974,S0045,11-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/0978,D0017,13-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/0981,M0025,13-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/0985,H0041,13-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,6,170.7,,1024.2,1024.2,TIC/0383,D0017,16-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,4,199.1,,796.4,796.4,TIC/1036,D0017,22-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.22,,597.66,597.66,TIC/0456,D0017,23-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.1,,597.3,597.3,TIC/1032,H0041,23-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1033,P0011,23-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1035,B0004,23-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,113.8,,341.4,341.4,TIC/0468,D0017,24-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1038,H0035,24-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.1,,597.3,597.3,TIC/1039,N0007,24-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1042,S0056,24-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1044,D0017,24-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.1,,597.3,597.3,TIC/1046,K0012,24-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1047,R0019,24-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1067,M0025,29-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1076,N0007,30-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1087,P0015,31-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1090,J0010,31-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1094,H0036,31-08-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1078,K0012,01-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,6,199.1,,1194.6,1194.6,TIC/1079,D0017,01-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1081,S0061,02-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1082,M0022,02-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1096,H0057,02-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1100,H0028,02-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1102,R0019,02-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1114,N0007,03-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1115,J0014,03-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,5,199.1,,995.5,995.5,TIC/1119,D0017,03-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.1,,597.3,597.3,TIC/1077,S0045,04-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.1,,597.3,597.3,TIC/1135,N0007,09-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1138,H0035,09-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1140,V0012,09-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1148,J0014,10-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1150,K0012,11-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1153,S0053,12-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.1,,597.3,597.3,TIC/1155,N0007,14-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1160,R0019,14-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1163,B0004,15-09-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,4,113.8,,455.2,455.2,TIC/1170,N0007,15-09-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,6,113.8,,682.8,682.8,TIC/1172,D0017,15-09-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1181,S0047,17-09-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1182,M0022,17-09-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/1186,S0045,17-09-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1185,R0014,18-09-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1190,J0010,18-09-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1196,O0005,18-09-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,4,199.1,,796.4,796.4,TIC/1199,H0035,19-09-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1201,K0012,19-09-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1202,K0009,19-09-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1208,G0010,20-09-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,6,113.8,,682.8,682.8,TIC/1210,S0061,21-09-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/1211,D0017,22-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.1,,597.3,597.3,TIC/1212,N0007,22-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,5,199.1,,995.5,995.5,TIC/1215,D0017,22-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1218,P0011,22-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1224,R0019,22-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.1,,597.3,597.3,TIC/1229,M0025,23-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.1,,597.3,597.3,TIC/1233,H0035,23-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1235,S0045,23-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1243,K0012,24-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1248,M0022,25-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1250,R0019,25-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1253,B0004,25-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.1,,597.3,597.3,TIC/1278,N0007,29-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1267,K0012,29-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1268,R0014,29-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1280,J0009,29-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,5,199.1,,995.5,995.5,TIC/1276,S0045,30-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.1,,597.3,597.3,TIC/1282,H0034,30-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1283,P0009,30-09-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1298,K0012,03-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1299,H0035,03-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.1,,597.3,597.3,TIC/1301,N0007,03-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1308,K0013,04-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1337,K0012,07-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.1,,597.3,597.3,TIC/1357,N0007,08-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1332,S0056,09-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1333,L0004,09-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1334,R0019,09-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1340,J0010,10-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1342,J0014,10-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1344,P0009,10-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1345,K0009,10-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1347,M0020,10-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1348,S0047,10-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1365,M0022,10-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1367,S0061,10-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1368,P0011,10-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1370,B0004,11-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1404,R0019,17-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1405,J0014,17-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.1,,597.3,597.3,TIC/1408,H0035,17-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.1,,597.3,597.3,TIC/1409,S0056,17-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1411,K0013,17-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.1,,597.3,597.3,TIC/1412,N0007,17-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.1,,597.3,597.3,TIC/1413,D0017,17-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1423,K0012,20-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,5,199.1,,995.5,995.5,TIC/1427,H0034,20-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1461,S0043,21-10-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.1,,398.2,398.2,TIC/1426,P0009,22-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1464,S0062,22-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/1467,S0045,22-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1471,N0007,22-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1474,H0041,23-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1474,H0041,23-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/1476,H0035,23-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1480,H0057,24-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1483,B0018,24-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,199.1,,398.2,398.2,TIC/1450,R0019,26-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1453,K0013,26-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1462,K0012,26-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1481,D0017,27-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1491,K0013,27-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1485,N0007,28-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1504,P0009,28-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1512,H0028,28-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1505,J0010,29-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,4,113.8,,455.2,455.2,TIC/1502,D0017,30-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1526,S0043,30-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1497,P0011,31-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1499,H0036,31-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/1500,N0007,31-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1530,P0009,31-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1531,N0007,31-10-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1494,S0061,02-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/1492,K0012,03-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1517,J0014,03-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1524,K0012,04-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1539,N0009,04-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1544,R0019,04-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1536,R0019,05-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/1555,O0005,05-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1556,S0056,05-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1562,M0022,05-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1534,B0018,06-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/1565,N0007,06-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1550,D0017,07-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1580,S0058,08-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1591,S0054,08-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1567,D0017,10-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,4,113.8,,455.2,455.2,TIC/1612,P0009,10-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1571,H0047,11-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/1586,H0028,12-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1631,P0011,12-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/1641,L0004,12-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/1587,N0007,13-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1605,J0010,13-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/1632,N0007,14-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1658,P0009,14-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/1660,S0043,14-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1598,H0042,15-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,4,113.8,,455.2,455.2,TIC/1607,K0012,15-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,4,113.8,,455.2,455.2,TIC/1625,D0017,15-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1523,M0020,16-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1588,B0018,16-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/1677,J0014,16-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/1627,H0034,17-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,4,113.8,,455.2,455.2,TIC/1663,K0012,17-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,6,113.8,,682.8,682.8,TIC/1664,H0035,18-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,4,113.8,,455.2,455.2,TIC/1665,P0009,18-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1670,B0018,18-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1683,B0018,18-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1703,K0013,18-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,4,113.8,,455.2,455.2,TIC/1704,D0017,18-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,5,113.8,,569,569,TIC/1706,H0036,18-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1707,R0019,18-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/1708,J0014,18-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1709,B0018,18-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,5,113.8,,569,569,TIC/1723,H0028,18-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,10,113.8,,1138,1138,TIC/1583,S0051,19-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1593,S0047,19-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/1685,P0011,19-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,4,113.8,,455.2,455.2,TIC/1720,P0009,19-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/1604,D0017,20-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,4,113.8,,455.2,455.2,TIC/1606,F0009,20-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1646,S0045,21-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/1750,H0034,21-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,4,113.8,,455.2,455.2,TIC/1647,H0036,22-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1667,P0011,22-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1668,J0014,22-11-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.1,,199.1,199.1,TIC/1752,H0035,22-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1715,N0009,23-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1738,S0057,23-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1739,S0061,23-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1755,M0025,23-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1734,M0022,24-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1735,N0009,24-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,4,113.8,,455.2,455.2,TIC/1771,D0017,24-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/1775,S0057,24-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,5,113.8,,569,569,TIC/1693,S0045,25-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/1736,B0004,25-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1770,H0034,25-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/1678,S0048,26-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/1679,S0057,26-11-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,4,113.8,,455.2,455.2,TIC/1695,H0035,26-11-12,SALE
