ICODE,INAME,INAME1,OICODE,FICODE,QTY,RATE,SRATE,IVAL,IAMT,INVNO,PCODE,ODATE,DBC
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.22,,199.22,199.22,TIC/0229,S0056,01-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.22,,199.22,199.22,TIC/0226,B0004,01-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/0232,D0017,02-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.22,,199.22,199.22,TIC/0241,H0028,02-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,170.7,,341.4,341.4,TIC/0506,P0009,03-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,6,199.22,,1195.32,1195.32,TIC/0509,N0007,03-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,119.3,,357.9,357.9,TIC/0262,J0014,05-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/0267,N0007,06-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,113.8,,341.4,341.4,TIC/0277,K0012,06-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,6,199.22,,1195.32,1195.32,TIC/0273,O0006,06-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.22,,597.66,597.66,TIC/0283,M0030,06-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,119.3,,238.6,238.6,TIC/0279,J0014,06-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,4,113.8,,455.2,455.2,TIC/0289,D0017,07-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,5,113.8,,569,569,TIC/0244,N0007,07-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,119.3,,357.9,357.9,TIC/0292,P0011,07-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,119.3,,357.9,357.9,TIC/0291,S0056,07-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,119.3,,357.9,357.9,TIC/0287,S0045,07-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,119.3,,119.3,119.3,TIC/0285,R0019,07-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/0238,D0017,08-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,4,119.3,,477.2,477.2,TIC/0325,H0028,08-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,113.8,,227.6,227.6,TIC/0323,J0010,08-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,4,113.8,,455.2,455.2,TIC/0331,N0007,09-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,15,119.3,,1789.5,1789.5,TIC/0304,D0017,09-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/0317,H0035,10-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,8,119.3,,954.4,954.4,TIC/0303,S0045,11-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/0300,N0007,11-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,113.8,,227.6,227.6,TIC/0307,K0012,11-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,119.3,,119.3,119.3,TIC/0320,S0043,11-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,4,119.3,,477.2,477.2,TIC/0306,O0006,11-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,119.3,,238.6,238.6,TIC/0332,P0015,12-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/0340,S0056,12-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,113.8,,113.8,113.8,TIC/0340,S0056,12-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,5,119.3,,596.5,596.5,TIC/0336,F0009,12-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,4,113.8,,455.2,455.2,TIC/0362,P0011,13-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/0355,M0020,13-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,113.8,,227.6,227.6,TIC/0364,B0004,13-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,6,113.8,,682.8,682.8,TIC/0358,O0006,13-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,113.8,,113.8,113.8,TIC/0368,S0058,13-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,113.8,,113.8,113.8,TIC/0353,R0019,13-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,113.8,,113.8,113.8,TIC/0367,M0030,13-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/0369,L0004,14-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,4,113.8,,455.2,455.2,TIC/0372,S0044,15-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.22,,398.44,398.44,TIC/0392,N0007,17-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,170.7,,512.1,512.1,TIC/0393,G0010,17-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,170.7,,341.4,341.4,TIC/0394,J0010,17-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,170.7,,512.1,512.1,TIC/0400,S0048,17-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.22,,597.66,597.66,TIC/0395,S0054,17-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,5,199.22,,996.1,996.1,TIC/0387,O0006,17-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.22,,597.66,597.66,TIC/0399,H0035,18-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.22,,398.44,398.44,TIC/0409,H0036,18-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,5,170.7,,853.5,853.5,TIC/0412,S0056,18-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,170.7,,170.7,170.7,TIC/0401,V0013,18-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,170.7,,170.7,170.7,TIC/0404,K0013,18-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.22,,597.66,597.66,TIC/0396,K0012,18-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.22,,199.22,199.22,TIC/0402,M0030,18-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,170.7,,341.4,341.4,TIC/0413,P0011,19-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,113.8,,341.4,341.4,TIC/0418,B0004,19-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,6,113.8,,682.8,682.8,TIC/0430,H0034,21-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,113.8,,113.8,113.8,TIC/0424,R0019,21-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.22,,199.22,199.22,TIC/0444,M0030,22-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,4,113.8,,455.2,455.2,TIC/0438,P0009,23-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/0462,H0035,24-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,113.8,,113.8,113.8,TIC/0467,S0043,24-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,113.8,,113.8,113.8,TIC/0464,K0009,24-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/0472,H0034,25-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,113.8,,113.8,113.8,TIC/0473,R0019,25-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,5,113.8,,569,569,TIC/0479,S0045,26-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/0487,N0007,26-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,113.8,,227.6,227.6,TIC/0485,M0020,26-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,8,97.5,,780,780,TIC/0495,D0017,27-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,113.8,,227.6,227.6,TIC/0492,K0012,27-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.22,,199.22,199.22,TIC/0492,K0012,27-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,113.8,,113.8,113.8,TIC/0491,S0058,27-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,97.5,,292.5,292.5,TIC/0494,J0014,27-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.22,,199.22,199.22,TIC/0493,S0043,27-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,5,97.5,,487.5,487.5,TIC/0496,H0028,27-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,97.5,,292.5,292.5,TIC/0500,J0014,29-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,6,199.22,,1195.32,1195.32,TIC/0516,D0017,30-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,4,170.7,,682.8,682.8,TIC/0507,H0035,30-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.22,,398.44,398.44,TIC/0505,H0041,30-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,170.7,,341.4,341.4,TIC/0512,A0016,30-05-12,SALE
