ICODE,INAME,INAME1,OICODE,FICODE,IGCODE,UNIT,AQTY,QTY,FQTY,FAMT,SCHNO,SCHTYPE,RATE,SRATE,IVAL,IAMT,INVNO,DINVNO,PCODE,NAME,PCODEC,ARCODE,CATCD,DATE,IO,DESC,DBC,NT,TYCODE,DUM_INVNO,USER,CDATE,TIME,VAT,AVAT,PRODID,VATAMT,AVATAMT,DPCODE,PRINTED
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.22,,597.66,597.66,TIC/0396,,K0012,,ISLTX,N01,PR,18-05-12,O,,SALE,,VATIC,,TEM,18-07-12,19:21:33,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0402,,M0030,,ISLTX,N01,,18-05-12,O,,SALE,,VATIC,,TEM,24-06-12,11:48:13,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,170.70,,341.40,341.40,TIC/0413,,P0011,,ISLTX,D02,PR,19-05-12,O,,SALE,,VATIC,,TEM,11-06-12,22:14:42,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,113.80,,341.40,341.40,TIC/0418,,B0004,,ISLTX,N01,PR,19-05-12,O,,SALE,,VATIC,,TEM,22-06-12,10:03:22,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,6.000,0.000,0.00,,,113.80,,682.80,682.80,TIC/0430,,H0034,,ISLTX,D02,PR,21-05-12,O,,SALE,,VATIC,,TEM,11-06-12,22:15:15,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,113.80,,113.80,113.80,TIC/0424,,R0019,,ISLTX,N01,,21-05-12,O,,SALE,,VATIC,,TEM,26-06-12,11:28:33,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0444,,M0030,,ISLTX,N01,,22-05-12,O,,SALE,,VATIC,,TEM,23-06-12,13:07:00,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,4.000,0.000,0.00,,,113.80,,455.20,455.20,TIC/0438,,P0009,,ISLTX,D02,PR,23-05-12,O,,SALE,,VATIC,,TEM,11-06-12,22:17:39,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,3.000,0.000,0.00,,,113.80,,341.40,341.40,TIC/0462,,H0035,,ISLTX,M01,H1,24-05-12,O,,SALE,,VATIC,,TEM,11-06-12,22:18:59,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,113.80,,113.80,113.80,TIC/0467,,S0043,,ISLTX,,,24-05-12,O,,SALE,,VATIC,,TEM,24-06-12,11:17:33,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,113.80,,113.80,113.80,TIC/0464,,K0009,,ISLTX,N01,KI,24-05-12,O,,SALE,,VATIC,,TEM,03-07-12,18:05:58,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,3.000,0.000,0.00,,,113.80,,341.40,341.40,TIC/0472,,H0034,,ISLTX,D02,PR,25-05-12,O,,SALE,,VATIC,,TEM,11-06-12,22:21:40,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,113.80,,113.80,113.80,TIC/0473,,R0019,,ISLTX,N01,,25-05-12,O,,SALE,,VATIC,,TEM,18-07-12,19:33:19,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,5.000,0.000,0.00,,,113.80,,569.00,569.00,TIC/0479,,S0045,,ISLTX,N01,SS,26-05-12,O,,SALE,,VATIC,,TEM,11-06-12,18:14:25,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,3.000,0.000,0.00,,,113.80,,341.40,341.40,TIC/0487,,N0007,,ISLTX,N01,CT,26-05-12,O,,SALE,,VATIC,,TEM,11-06-12,22:09:38,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,113.80,,227.60,227.60,TIC/0485,,M0020,,ISLTX,M01,SS,26-05-12,O,,SALE,,VATIC,,TEM,24-06-12,10:52:47,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,8.000,0.000,0.00,,,97.50,,780.00,780.00,TIC/0495,,D0017,,ISLTX,N01,PR,27-05-12,O,,SALE,,VATIC,,TEM,11-06-12,17:42:10,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,113.80,,227.60,227.60,TIC/0492,,K0012,,ISLTX,N01,PR,27-05-12,O,,SALE,,VATIC,,TEM,22-06-12,10:39:37,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0492,,K0012,,ISLTX,N01,PR,27-05-12,O,,SALE,,VATIC,,TEM,22-06-12,10:39:37,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,113.80,,113.80,113.80,TIC/0491,,S0058,,ISLTX,N01,,27-05-12,O,,SALE,,VATIC,,TEM,24-06-12,10:57:34,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,97.50,,292.50,292.50,TIC/0494,,J0014,,ISLTX,N01,PR,27-05-12,O,,SALE,,VATIC,,TEM,24-06-12,11:00:06,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0493,,S0043,,ISLTX,,,27-05-12,O,,SALE,,VATIC,,TEM,24-06-12,11:12:38,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,5.000,0.000,0.00,,,97.50,,487.50,487.50,TIC/0496,,H0028,,ISLTX,N01,PR,27-05-12,O,,SALE,,VATIC,,TEM,13-07-12,10:13:10,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,97.50,,292.50,292.50,TIC/0500,,J0014,,ISLTX,N01,PR,29-05-12,O,,SALE,,VATIC,,TEM,24-06-12,11:45:04,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,6.000,0.000,0.00,,,199.22,,1195.32,1195.32,TIC/0516,,D0017,,ISLTX,N01,PR,30-05-12,O,,SALE,,VATIC,,TEM,11-06-12,18:02:44,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,4.000,0.000,0.00,,,170.70,,682.80,682.80,TIC/0507,,H0035,,ISLTX,M01,H1,30-05-12,O,,SALE,,VATIC,,TEM,24-06-12,11:46:05,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0505,,H0041,,ISLTX,D02,BR,30-05-12,O,,SALE,,VATIC,,TEM,23-06-12,10:05:22,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,170.70,,341.40,341.40,TIC/0512,,A0016,,ISLTX,N01,ST,30-05-12,O,,SALE,,VATIC,,TEM,11-07-12,19:34:11,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,170.70,,341.40,341.40,TIC/0504,,R0019,,ISLTX,N01,,30-05-12,O,,SALE,,VATIC,,TEM,11-07-12,19:36:55,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,170.70,,512.10,512.10,TIC/0511,,S0056,,ISLTX,,,30-05-12,O,,SALE,,VATIC,,TEM,11-07-12,19:46:53,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,170.70,,341.40,341.40,TIC/0515,,S0047,,ISLTX,M01,PR,30-05-12,O,,SALE,,VATIC,,TEM,11-07-12,20:18:37,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,97.50,,97.50,97.50,TIC/0517,,K0013,,ISLTX,P01,,30-05-12,O,,SALE,,VATIC,,TEM,13-07-12,11:01:15,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0518,,J0010,,ISLTX,N01,ST,31-05-12,O,,SALE,,VATIC,,TEM,17-07-12,10:44:14,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0528,,G0018,,ISLTX,N01,,01-06-12,O,,SALE,,VATIC,,TEM,10-07-12,11:35:01,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0529,,B0004,,ISLTX,N01,PR,01-06-12,O,,SALE,,VATIC,,TEM,11-07-12,19:43:25,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0527,,M0030,,ISLTX,N01,,01-06-12,O,,SALE,,VATIC,,TEM,11-07-12,20:21:45,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,170.70,,512.10,512.10,TIC/0521,,J0009,,ISLTX,,,01-06-12,O,,SALE,,VATIC,,TEM,13-07-12,10:58:07,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0531,,J0014,,ISLTX,N01,PR,01-06-12,O,,SALE,,VATIC,,TEM,17-07-12,11:09:55,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0538,,D0014,,ISLTX,D02,PR,02-06-12,O,,SALE,,VATIC,,TEM,23-06-12,10:06:03,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,5.000,0.000,0.00,,,199.22,,996.10,996.10,TIC/0537,,F0009,,ISLTX,M01,PR,02-06-12,O,,SALE,,VATIC,,TEM,26-06-12,11:25:30,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0534,,K0012,,ISLTX,N01,PR,02-06-12,O,,SALE,,VATIC,,TEM,11-07-12,19:51:46,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,119.84,,119.84,119.84,TIC/0543,,P0016,,ISLTX,N01,,02-06-12,O,,SALE,,VATIC,,TEM,11-07-12,20:07:22,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0599,,H0034,,ISLTX,D02,PR,04-06-12,O,,SALE,,VATIC,,TEM,11-06-12,16:35:54,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.20,,398.40,398.40,TIC/0549,,J0009,,ISLTX,,,06-06-12,O,,SALE,,VATIC,,TEM,23-06-12,09:55:50,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0580,,K0013,,ISLTX,P01,,06-06-12,O,,SALE,,VATIC,,TEM,11-06-12,12:13:01,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0589,,R0019,,ISLTX,N01,,06-06-12,O,,SALE,,VATIC,,TEM,11-06-12,16:17:28,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0591,,J0009,,ISLTX,,,06-06-12,O,,SALE,,VATIC,,TEM,23-06-12,09:56:31,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0608,,D0017,,ISLTX,N01,PR,06-06-12,O,,SALE,,VATIC,,TEM,12-06-12,10:34:39,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,5.000,0.000,0.00,,,199.20,,996.00,996.00,TIC/0560,,S0056,,ISLTX,,,07-06-12,O,,SALE,,VATIC,,TEM,08-06-12,17:34:36,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,4.000,0.000,0.00,,,199.20,,796.80,796.80,TIC/0550,,P0009,,ISLTX,D02,PR,08-06-12,O,,SALE,,VATIC,,TEM,12-06-12,09:55:05,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,4.000,0.000,0.00,,,199.20,,796.80,796.80,TIC/0552,,P0011,,ISLTX,D02,PR,08-06-12,O,,SALE,,VATIC,,TEM,08-06-12,10:22:50,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.20,,597.60,597.60,TIC/0553,,M0020,,ISLTX,M01,SS,08-06-12,O,,SALE,,VATIC,,TEM,08-06-12,10:25:06,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,5.000,0.000,0.00,,,199.20,,996.00,996.00,TIC/0554,,H0035,,ISLTX,M01,H1,08-06-12,O,,SALE,,VATIC,,TEM,08-06-12,12:38:11,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.22,,597.66,597.66,TIC/0556,,H0036,,ISLTX,D02,BR,08-06-12,O,,SALE,,VATIC,,TEM,08-06-12,12:41:24,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.20,,597.60,597.60,TIC/0557,,N0007,,ISLTX,N01,CT,08-06-12,O,,SALE,,VATIC,,TEM,03-07-12,17:27:09,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,5.000,0.000,0.00,,,199.22,,996.10,996.10,TIC/0561,,S0045,,ISLTX,N01,SS,08-06-12,O,,SALE,,VATIC,,TEM,08-06-12,17:35:32,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0571,,B0004,,ISLTX,N01,PR,09-06-12,O,,SALE,,VATIC,,TEM,09-06-12,13:10:40,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,5.000,0.000,0.00,,,199.22,,996.10,996.10,TIC/0576,,D0017,,ISLTX,N01,PR,09-06-12,O,,SALE,,VATIC,,TEM,11-06-12,20:56:31,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0581,,J0014,,ISLTX,N01,PR,10-06-12,O,,SALE,,VATIC,,TEM,10-06-12,11:02:24,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0582,,J0014,,ISLTX,N01,PR,10-06-12,O,,SALE,,VATIC,,TEM,10-06-12,11:19:04,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,4.000,0.000,0.00,,,199.22,,796.88,796.88,TIC/0443,,N0007,,ISLTX,N01,CT,11-06-12,O,,SALE,,VATIC,,TEM,11-06-12,17:51:20,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0621,,R0019,,ISLTX,N01,,14-06-12,O,,SALE,,VATIC,,TEM,14-06-12,18:30:34,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.22,,597.66,597.66,TIC/0626,,N0007,,ISLTX,N01,CT,15-06-12,O,,SALE,,VATIC,,TEM,17-06-12,13:08:56,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0627,,H0057,,ISLTX,V01,ST,15-06-12,O,,SALE,,VATIC,,TEM,15-06-12,18:03:52,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0628,,S0043,,ISLTX,,,15-06-12,O,,SALE,,VATIC,,TEM,15-06-12,18:07:52,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0632,,H0041,,ISLTX,D02,BR,15-06-12,O,,SALE,,VATIC,,TEM,15-06-12,19:32:13,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,4.000,0.000,0.00,,,199.22,,796.88,796.88,TIC/0633,,H0034,,ISLTX,D02,PR,15-06-12,O,,SALE,,VATIC,,TEM,15-06-12,19:32:38,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0634,,K0013,,ISLTX,P01,,16-06-12,O,,SALE,,VATIC,,TEM,16-06-12,12:49:01,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.22,,597.66,597.66,TIC/0635,,K0012,,ISLTX,N01,PR,16-06-12,O,,SALE,,VATIC,,TEM,16-06-12,12:51:34,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.22,,597.66,597.66,TIC/0636,,J0009,,ISLTX,,,16-06-12,O,,SALE,,VATIC,,TEM,16-06-12,12:52:37,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,4.000,0.000,0.00,,,199.22,,796.88,796.88,TIC/0638,,S0056,,ISLTX,,,16-06-12,O,,SALE,,VATIC,,TEM,16-06-12,12:56:37,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,5.000,0.000,0.00,,,199.22,,996.10,996.10,TIC/0642,,B0004,,ISLTX,N01,PR,16-06-12,O,,SALE,,VATIC,,TEM,16-06-12,19:38:27,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.22,,597.66,597.66,TIC/0646,,D0017,,ISLTX,N01,PR,17-06-12,O,,SALE,,VATIC,,TEM,17-06-12,16:28:50,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0647,,R0019,,ISLTX,N01,,18-06-12,O,,SALE,,VATIC,,TEM,18-06-12,18:09:39,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0648,,J0014,,ISLTX,N01,PR,18-06-12,O,,SALE,,VATIC,,TEM,18-06-12,18:14:10,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0650,,H0036,,ISLTX,D02,BR,19-06-12,O,,SALE,,VATIC,,TEM,19-06-12,12:11:05,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,4.000,0.000,0.00,,,199.22,,796.88,796.88,TIC/0651,,D0017,,ISLTX,N01,PR,19-06-12,O,,SALE,,VATIC,,TEM,19-06-12,18:00:44,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0652,,K0012,,ISLTX,N01,PR,19-06-12,O,,SALE,,VATIC,,TEM,19-06-12,18:01:26,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,4.000,0.000,0.00,,,199.22,,796.88,796.88,TIC/0654,,H0035,,ISLTX,M01,H1,19-06-12,O,,SALE,,VATIC,,TEM,19-06-12,18:02:56,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,4.000,0.000,0.00,,,199.22,,796.88,796.88,TIC/0655,,N0007,,ISLTX,N01,CT,20-06-12,O,,SALE,,VATIC,,TEM,24-06-12,10:07:39,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0659,,M0020,,ISLTX,M01,SS,21-06-12,O,,SALE,,VATIC,,TEM,21-06-12,10:31:07,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0660,,A0015,,ISLTX,N01,PR,21-06-12,O,,SALE,,VATIC,,TEM,21-06-12,18:19:59,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0661,,J0015,,ISLTX,N01,,21-06-12,O,,SALE,,VATIC,,TEM,21-06-12,17:39:00,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0664,,K0009,,ISLTX,N01,KI,22-06-12,O,,SALE,,VATIC,,TEM,21-06-12,20:25:44,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0669,,J0010,,ISLTX,N01,ST,22-06-12,O,,SALE,,VATIC,,TEM,22-06-12,18:12:25,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,5.000,0.000,0.00,,,199.22,,996.10,996.10,TIC/0677,,S0054,,ISLTX,N01,PR,23-06-12,O,,SALE,,VATIC,,TEM,24-06-12,09:57:42,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0681,,H0056,,ISLTX,N01,,24-06-12,O,,SALE,,VATIC,,TEM,25-06-12,09:14:04,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0682,,N0007,,ISLTX,N01,CT,24-06-12,O,,SALE,,VATIC,,TEM,25-06-12,09:14:34,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0686,,M0025,,ISLTX,N01,ST,25-06-12,O,,SALE,,VATIC,,TEM,26-06-12,18:26:05,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.22,,597.66,597.66,TIC/0693,,N0007,,ISLTX,N01,CT,26-06-12,O,,SALE,,VATIC,,TEM,26-06-12,16:22:55,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0695,,H0036,,ISLTX,D02,BR,28-06-12,O,,SALE,,VATIC,,TEM,28-06-12,10:12:37,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0696,,S0056,,ISLTX,,,28-06-12,O,,SALE,,VATIC,,TEM,28-06-12,10:12:19,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0700,,S0047,,ISLTX,M01,PR,28-06-12,O,,SALE,,VATIC,,TEM,28-06-12,10:08:13,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0709,,R0019,,ISLTX,N01,,28-06-12,O,,SALE,,VATIC,,TEM,28-06-12,18:48:04,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0713,,D0017,,ISLTX,N01,PR,29-06-12,O,,SALE,,VATIC,,TEM,29-06-12,14:46:50,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.22,,597.66,597.66,TIC/0714,,J0014,,ISLTX,N01,PR,29-06-12,O,,SALE,,VATIC,,TEM,29-06-12,14:52:38,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0716,,K0013,,ISLTX,P01,,29-06-12,O,,SALE,,VATIC,,TEM,07-07-12,10:45:42,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0718,,S0060,,ISLTX,D02,,29-06-12,O,,SALE,,VATIC,,TEM,29-06-12,15:08:58,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0732,,J0015,,ISLTX,N01,,02-07-12,O,,SALE,,VATIC,,TEM,02-07-12,19:41:24,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0736,,J0010,,ISLTX,N01,ST,03-07-12,O,,SALE,,VATIC,,TEM,03-07-12,10:25:05,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0811,,D0014,,ISLTX,D02,PR,16-07-12,O,,SALE,,VATIC,,TEM,16-07-12,15:34:32,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.22,,597.66,597.66,TIC/0812,,N0007,,ISLTX,N01,CT,16-07-12,O,,SALE,,VATIC,,TEM,16-07-12,20:56:39,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,6.000,0.000,0.00,,,199.22,,1195.32,1195.32,TIC/0813,,D0017,,ISLTX,N01,PR,17-07-12,O,,SALE,,VATIC,,TEM,16-07-12,20:56:04,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,10.000,0.000,0.00,,,199.22,,1992.20,1992.20,TIC/0814,,S0051,,ISLTX,N01,PR,17-07-12,O,,SALE,,VATIC,,TEM,16-07-12,20:56:17,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0817,,R0019,,ISLTX,N01,,17-07-12,O,,SALE,,VATIC,,TEM,17-07-12,18:24:46,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.22,,597.66,597.66,TIC/0818,,S0056,,ISLTX,,,17-07-12,O,,SALE,,VATIC,,TEM,17-07-12,12:23:11,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.22,,597.66,597.66,TIC/0826,,B0004,,ISLTX,N01,PR,18-07-12,O,,SALE,,VATIC,,TEM,18-07-12,12:19:26,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,199.22,,597.66,597.66,TIC/0827,,J0010,,ISLTX,N01,ST,18-07-12,O,,SALE,,VATIC,,TEM,18-07-12,12:19:41,,,,,,,
