ICODE,INAME,INAME1,OICODE,FICODE,IGCODE,UNIT,AQTY,QTY,FQTY,FAMT,SCHNO,SCHTYPE,RATE,SRATE,IVAL,IAMT,INVNO,DINVNO,PCODE,NAME,PCODEC,ARCODE,CATCD,DATE,IO,DESC,DBC,NT,TYCODE,DUM_INVNO,USER,CDATE,TIME,VAT,AVAT,PRODID,VATAMT,AVATAMT,DPCODE,PRINTED
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,119.20,,119.20,119.20,TIC/0075,,A0016,,ISLTX,N01,ST,11-04-12,O,,SALE,,VATIC,,TEM,17-07-12,11:16:40,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,3.000,0.000,0.00,,,113.80,,341.40,341.40,TIC/0085,,P0009,,ISLTX,D02,PR,12-04-12,O,,SALE,,VATIC,,TEM,12-06-12,13:09:09,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,119.30,,119.30,119.30,TIC/0081,,P0015,,ISLTX,N01,PR,12-04-12,O,,SALE,,VATIC,,TEM,12-07-12,11:42:16,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,119.30,,238.60,238.60,TIC/0090,,S0043,,ISLTX,,,12-04-12,O,,SALE,,VATIC,,TEM,12-07-12,12:11:14,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,2.000,0.000,0.00,,,119.30,,238.60,238.60,TIC/0101,,S0045,,ISLTX,N01,SS,13-04-12,O,,SALE,,VATIC,,TEM,12-06-12,12:58:55,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,10.000,0.000,0.00,,,113.80,,1138.00,1138.00,TIC/0092,,D0017,,ISLTX,N01,PR,13-04-12,O,,SALE,,VATIC,,TEM,22-06-12,09:59:05,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,119.30,,357.90,357.90,TIC/0097,,S0056,,ISLTX,,,13-04-12,O,,SALE,,VATIC,,TEM,12-07-12,11:49:57,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,119.30,,119.30,119.30,TIC/0093,,S0058,,ISLTX,N01,,13-04-12,O,,SALE,,VATIC,,TEM,12-07-12,12:13:51,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,119.30,,238.60,238.60,TIC/0113,,R0019,,ISLTX,N01,,14-04-12,O,,SALE,,VATIC,,TEM,13-07-12,10:22:32,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,6.000,0.000,0.00,,,119.30,,715.80,715.80,TIC/0111,,O0006,,ISLTX,D02,PR,14-04-12,O,,SALE,,VATIC,,TEM,13-07-12,10:23:09,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,3.000,0.000,0.00,,,119.30,,357.90,357.90,TIC/0118,,H0035,,ISLTX,M01,H1,15-04-12,O,,SALE,,VATIC,,TEM,11-06-12,12:29:20,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,4.000,0.000,0.00,,,119.30,,477.20,477.20,TIC/0116,,H0041,,ISLTX,D02,BR,15-04-12,O,,SALE,,VATIC,,TEM,11-06-12,12:33:29,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,4.000,0.000,0.00,,,119.30,,477.20,477.20,TIC/0117,,H0034,,ISLTX,D02,PR,15-04-12,O,,SALE,,VATIC,,TEM,11-06-12,12:33:53,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,1.000,0.000,0.00,,,199.30,,199.30,199.30,TIC/0123,,H0042,,ISLTX,N01,ST,15-04-12,O,,SALE,,VATIC,,TEM,11-06-12,13:03:01,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,5.000,0.000,0.00,,,119.30,,596.50,596.50,TIC/0110,,N0007,,ISLTX,N01,CT,15-04-12,O,,SALE,,VATIC,,TEM,11-06-12,13:15:58,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,2.000,0.000,0.00,,,119.30,,238.60,238.60,TIC/0137,,H0028,,ISLTX,N01,PR,17-04-12,O,,SALE,,VATIC,,TEM,11-06-12,13:36:36,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,4.000,0.000,0.00,,,119.30,,477.20,477.20,TIC/0140,,S0054,,ISLTX,N01,PR,18-04-12,O,,SALE,,VATIC,,TEM,11-06-12,13:39:56,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,1.000,0.000,0.00,,,113.80,,113.80,113.80,TIC/0149,,P0015,,ISLTX,N01,PR,18-04-12,O,,SALE,,VATIC,,TEM,11-06-12,13:40:48,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,1.000,0.000,0.00,,,113.80,,113.80,113.80,TIC/0142,,P0016,,ISLTX,,,18-04-12,O,,SALE,,VATIC,,TEM,11-06-12,13:42:57,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,2.000,0.000,0.00,,,119.30,,238.60,238.60,TIC/0145,,N0007,,ISLTX,N01,CT,18-04-12,O,,SALE,,VATIC,,TEM,11-06-12,13:53:44,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,2.000,0.000,0.00,,,113.80,,227.60,227.60,TIC/0150,,S0043,,ISLTX,,,18-04-12,O,,SALE,,VATIC,,TEM,11-06-12,13:56:03,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,119.30,,119.30,119.30,TIC/0220,,S0043,,ISLTX,,,29-04-12,O,,SALE,,VATIC,,TEM,13-07-12,10:42:26,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0218,,K0012,,ISLTX,N01,PR,29-04-12,O,,SALE,,VATIC,,TEM,13-07-12,10:52:38,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,199.22,,199.22,199.22,TIC/0214,,K0013,,ISLTX,P01,,29-04-12,O,,SALE,,VATIC,,TEM,13-07-12,10:53:49,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0227,,K0009,,ISLTX,N01,KI,30-04-12,O,,SALE,,VATIC,,TEM,14-07-12,13:37:39,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0431,,N0007,,ISLTX,N01,CT,01-05-12,O,,SALE,,VATIC,,TEM,12-06-12,10:10:07,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,199.22,,398.44,398.44,TIC/0231,,N0007,,ISLTX,N01,CT,01-05-12,O,,SALE,,VATIC,,TEM,12-06-12,11:29:48,,,,,,,
